,families,train_samples,lens_train,accuracy
0,1-100,1,0,0.328977709
1,101-200,1,0,0.442294863
2,1-200,1,0,0.336428571
3,1-100,2,0,0.43735588
4,101-200,2,0,0.565043362
5,1-200,2,0,0.424285714
6,1-100,3,0,0.488854727
7,101-200,3,0,0.6257505
8,1-200,3,0,0.448214286
9,1-100,4,0,0.520368947
10,101-200,4,0,0.655103402
11,1-200,4,0,0.495357143
12,1-100,5,0,0.559569562
13,101-200,5,0,0.681787859
14,1-200,5,0,0.517142857
15,1-100,10,0,0.620292083
16,101-200,10,0,0.731821214
17,1-200,10,0,0.611785714
18,1-100,15,0,0.663335895
19,101-200,15,0,0.770513676
20,1-200,15,0,0.650357143
21,1-100,20,0,0.704842429
22,101-200,20,0,0.789859907
23,1-200,20,0,0.688214286
24,1-100,25,0,0.727901614
25,101-200,25,0,0.813208806
26,1-200,25,0,0.71
27,1-100,50,0,0.810914681
28,101-200,50,0,0.868579053
29,1-200,50,0,0.794285714
30,1-100,75,0,0.837048424
31,101-200,75,0,0.884589726
32,1-200,75,0,0.823214286
33,1-100,100,0,0.853189854
34,101-200,100,0,0.891927952
35,1-200,100,0,0.841428571
36,1-100,,0,0.888547271
37,101-200,,0,0.90527018
38,1-200,,0,0.8725
39,1-100,1,1,0.930822444
40,101-200,1,1,0.700466978
41,1-200,1,1,0.725357143
42,1-100,2,1,0.948501153
43,101-200,2,1,0.790527018
44,1-200,2,1,0.808214286
45,1-100,3,1,0.964642583
46,101-200,3,1,0.825883923
47,1-200,3,1,0.84
48,1-100,4,1,0.970791699
49,101-200,4,1,0.845897265
50,1-200,4,1,0.862857143
51,1-100,5,1,0.979246733
52,101-200,5,1,0.867911941
53,1-200,5,1,0.875714286
54,1-100,10,1,0.986164489
55,101-200,10,1,0.895263509
56,1-200,10,1,0.914285714
57,1-100,15,1,0.986933128
58,101-200,15,1,0.916611074
59,1-200,15,1,0.923928571
60,1-100,20,1,0.990007686
61,101-200,20,1,0.918612408
62,1-200,20,1,0.936785714
63,1-100,25,1,0.990007686
64,101-200,25,1,0.927951968
65,1-200,25,1,0.938571429
66,1-100,50,1,0.990776326
67,101-200,50,1,0.949966644
68,1-200,50,1,0.956428571
69,1-100,75,1,0.990776326
70,101-200,75,1,0.956637759
71,1-200,75,1,0.961785714
72,1-100,100,1,0.991544965
73,101-200,100,1,0.958639093
74,1-200,100,1,0.963571429
75,1-100,,1,0.993850884
76,101-200,,1,0.965977318
77,1-200,,1,0.971785714
