,families,train_samples,lens_train,accuracy
0,1-100,1,0,0.48501153
1,101-200,1,0,0.702468312
2,1-200,1,0,0.453571429
3,1-100,2,0,0.572636434
4,101-200,2,0,0.753168779
5,1-200,2,0,0.601428571
6,1-100,3,0,0.621060723
7,101-200,3,0,0.780520347
8,1-200,3,0,0.645357143
9,1-100,4,0,0.651806303
10,101-200,4,0,0.801867912
11,1-200,4,0,0.679285714
12,1-100,5,0,0.685626441
13,101-200,5,0,0.818545697
14,1-200,5,0,0.696428571
15,1-100,10,0,0.782475019
16,101-200,10,0,0.868579053
17,1-200,10,0,0.774285714
18,1-100,15,0,0.827056111
19,101-200,15,0,0.886591061
20,1-200,15,0,0.801428571
21,1-100,20,0,0.849346656
22,101-200,20,0,0.901934623
23,1-200,20,0,0.831785714
24,1-100,25,0,0.858570331
25,101-200,25,0,0.91460974
26,1-200,25,0,0.844642857
27,1-100,50,0,0.896233666
28,101-200,50,0,0.935290193
29,1-200,50,0,0.882142857
30,1-100,75,0,0.914681015
31,101-200,75,0,0.948632422
32,1-200,75,0,0.909285714
33,1-100,100,0,0.925441968
34,101-200,100,0,0.955303536
35,1-200,100,0,0.919642857
36,1-100,,0,0.943120676
37,101-200,,0,0.960640427
38,1-200,,0,0.936428571
39,1-100,1,1,0.852421214
40,101-200,1,1,0.699799867
41,1-200,1,1,0.696785714
42,1-100,2,1,0.902382782
43,101-200,2,1,0.801200801
44,1-200,2,1,0.768571429
45,1-100,3,1,0.92159877
46,101-200,3,1,0.832555037
47,1-200,3,1,0.797142857
48,1-100,4,1,0.929285165
49,101-200,4,1,0.834556371
50,1-200,4,1,0.838928571
51,1-100,5,1,0.939277479
52,101-200,5,1,0.855903936
53,1-200,5,1,0.851785714
54,1-100,10,1,0.965411222
55,101-200,10,1,0.9006004
56,1-200,10,1,0.897857143
57,1-100,15,1,0.967717141
58,101-200,15,1,0.919946631
59,1-200,15,1,0.918214286
60,1-100,20,1,0.96925442
61,101-200,20,1,0.933288859
62,1-200,20,1,0.9275
63,1-100,25,1,0.975403536
64,101-200,25,1,0.936624416
65,1-200,25,1,0.932142857
66,1-100,50,1,0.98385857
67,101-200,50,1,0.955970647
68,1-200,50,1,0.951071429
69,1-100,75,1,0.986933128
70,101-200,75,1,0.965977318
71,1-200,75,1,0.959642857
72,1-100,100,1,0.987701768
73,101-200,100,1,0.969979987
74,1-200,100,1,0.965714286
75,1-100,,1,0.988470407
76,101-200,,1,0.974649767
77,1-200,,1,0.975
