,families,train_samples,lens_train,accuracy
0,1-100,1,0,0.414296695
1,101-200,1,0,0.533689126
2,1-200,1,0,0.413928571
3,1-100,2,0,0.471944658
4,101-200,2,0,0.627084723
5,1-200,2,0,0.493214286
6,1-100,3,0,0.511913912
7,101-200,3,0,0.683122081
8,1-200,3,0,0.547857143
9,1-100,4,0,0.598001537
10,101-200,4,0,0.717144763
11,1-200,4,0,0.596785714
12,1-100,5,0,0.634127594
13,101-200,5,0,0.749833222
14,1-200,5,0,0.621785714
15,1-100,10,0,0.724058417
16,101-200,10,0,0.775850567
17,1-200,10,0,0.711071429
18,1-100,15,0,0.750960799
19,101-200,15,0,0.814543029
20,1-200,15,0,0.739285714
21,1-100,20,0,0.768639508
22,101-200,20,0,0.828552368
23,1-200,20,0,0.769642857
24,1-100,25,0,0.788624135
25,101-200,25,0,0.839226151
26,1-200,25,0,0.790357143
27,1-100,50,0,0.85933897
28,101-200,50,0,0.885923949
29,1-200,50,0,0.843571429
30,1-100,75,0,0.884704074
31,101-200,75,0,0.901934623
32,1-200,75,0,0.863214286
33,1-100,100,0,0.894696387
34,101-200,100,0,0.910607071
35,1-200,100,0,0.878214286
36,1-100,,0,0.932359723
37,101-200,,0,0.932621748
38,1-200,,0,0.917142857
39,1-100,1,1,0.970023059
40,101-200,1,1,0.597731821
41,1-200,1,1,0.68
42,1-100,2,1,0.971560338
43,101-200,2,1,0.697131421
44,1-200,2,1,0.747857143
45,1-100,3,1,0.973866257
46,101-200,3,1,0.741160774
47,1-200,3,1,0.770357143
48,1-100,4,1,0.974634896
49,101-200,4,1,0.749833222
50,1-200,4,1,0.8
51,1-100,5,1,0.977709454
52,101-200,5,1,0.761841227
53,1-200,5,1,0.817857143
54,1-100,10,1,0.981552652
55,101-200,10,1,0.809873249
56,1-200,10,1,0.856428571
57,1-100,15,1,0.983089931
58,101-200,15,1,0.826551034
59,1-200,15,1,0.875357143
60,1-100,20,1,0.98385857
61,101-200,20,1,0.833222148
62,1-200,20,1,0.88
63,1-100,25,1,0.98462721
64,101-200,25,1,0.851901268
65,1-200,25,1,0.885714286
66,1-100,50,1,0.986164489
67,101-200,50,1,0.887258172
68,1-200,50,1,0.912142857
69,1-100,75,1,0.986164489
70,101-200,75,1,0.897931955
71,1-200,75,1,0.924285714
72,1-100,100,1,0.986164489
73,101-200,100,1,0.906604403
74,1-200,100,1,0.932142857
75,1-100,,1,0.988470407
76,101-200,,1,0.935290193
77,1-200,,1,0.9475
